https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume WAVES,Volume USDT,tradecount
1701039600000,2023-11-26 23:00:00,WAVESUSDT,2.145,2.145,2.129,2.134,42764.58,91362.50635,342
1701036000000,2023-11-26 22:00:00,WAVESUSDT,2.137,2.153,2.137,2.145,121283.83,260255.37336,754
1701032400000,2023-11-26 21:00:00,WAVESUSDT,2.135,2.138,2.122,2.136,102032.87,217545.13545,528
1701028800000,2023-11-26 20:00:00,WAVESUSDT,2.128,2.14,2.121,2.135,91691.69,195246.45845,662
1701025200000,2023-11-26 19:00:00,WAVESUSDT,2.111,2.132,2.107,2.127,74628.04,158214.69796,501
1701021600000,2023-11-26 18:00:00,WAVESUSDT,2.115,2.127,2.106,2.112,86736.46,183380.71497,649
1701018000000,2023-11-26 17:00:00,WAVESUSDT,2.099,2.119,2.093,2.114,114161.16,240953.06193,839
1701014400000,2023-11-26 16:00:00,WAVESUSDT,2.114,2.128,2.061,2.099,737586.4,1546112.76111,5349
1701010800000,2023-11-26 15:00:00,WAVESUSDT,2.127,2.14,2.112,2.115,150628.24,319910.6067,855
1701007200000,2023-11-26 14:00:00,WAVESUSDT,2.139,2.144,2.119,2.126,132625.39,282810.19181,1004
1701003600000,2023-11-26 13:00:00,WAVESUSDT,2.156,2.16,2.13,2.142,116457.32,249461.84996,906
1701000000000,2023-11-26 12:00:00,WAVESUSDT,2.131,2.166,2.116,2.155,252850.84,539919.98904,1909
1700996400000,2023-11-26 11:00:00,WAVESUSDT,2.134,2.143,2.13,2.13,69230.05,147771.23917,466
1700992800000,2023-11-26 10:00:00,WAVESUSDT,2.136,2.148,2.132,2.133,86154.04,184354.97251,659
1700989200000,2023-11-26 09:00:00,WAVESUSDT,2.141,2.142,2.124,2.135,172270.1,367471.64501,1107
1700985600000,2023-11-26 08:00:00,WAVESUSDT,2.145,2.15,2.14,2.141,49696.07,106567.3508,334
1700982000000,2023-11-26 07:00:00,WAVESUSDT,2.156,2.157,2.143,2.145,78384.27,168355.23472,465
1700978400000,2023-11-26 06:00:00,WAVESUSDT,2.157,2.159,2.147,2.157,30788.95,66331.91822,306
1700974800000,2023-11-26 05:00:00,WAVESUSDT,2.154,2.16,2.15,2.157,37457.14,80761.87827,283
1700971200000,2023-11-26 04:00:00,WAVESUSDT,2.152,2.155,2.143,2.154,46984.19,100955.53118,367
1700967600000,2023-11-26 03:00:00,WAVESUSDT,2.16,2.166,2.151,2.152,67759.99,146238.79252,480
1700964000000,2023-11-26 02:00:00,WAVESUSDT,2.148,2.166,2.147,2.159,58220.73,125703.96821,476
1700960400000,2023-11-26 01:00:00,WAVESUSDT,2.179,2.18,2.146,2.148,104330.97,225392.76898,789
1700953200000,2023-11-25 23:00:00,WAVESUSDT,2.162,2.177,2.161,2.174,64566.12,139963.12384,470
1700949600000,2023-11-25 22:00:00,WAVESUSDT,2.162,2.166,2.155,2.162,51304.16,110811.78954,359
1700946000000,2023-11-25 21:00:00,WAVESUSDT,2.157,2.166,2.156,2.162,31355.39,67789.65501,307
1700942400000,2023-11-25 20:00:00,WAVESUSDT,2.155,2.16,2.149,2.157,87630.37,188736.58157,504
1700938800000,2023-11-25 19:00:00,WAVESUSDT,2.161,2.164,2.154,2.155,38683.15,83506.45255,286
1700935200000,2023-11-25 18:00:00,WAVESUSDT,2.157,2.166,2.151,2.159,61500.71,132623.53939,455
1700931600000,2023-11-25 17:00:00,WAVESUSDT,2.161,2.17,2.155,2.157,135353.42,292784.76559,665
1700928000000,2023-11-25 16:00:00,WAVESUSDT,2.165,2.172,2.155,2.162,50607.79,109457.8121,428
1700924400000,2023-11-25 15:00:00,WAVESUSDT,2.163,2.17,2.152,2.165,50570.13,109339.12509,386
1700920800000,2023-11-25 14:00:00,WAVESUSDT,2.165,2.168,2.153,2.163,56732.83,122621.59591,364
1700917200000,2023-11-25 13:00:00,WAVESUSDT,2.164,2.171,2.149,2.166,83016.16,179374.18095,620
1700913600000,2023-11-25 12:00:00,WAVESUSDT,2.142,2.164,2.14,2.163,103976.75,223979.09957,779
1700910000000,2023-11-25 11:00:00,WAVESUSDT,2.156,2.164,2.13,2.143,97079.1,208091.65791,813
1700906400000,2023-11-25 10:00:00,WAVESUSDT,2.166,2.172,2.15,2.156,128023.33,276770.66524,954
1700902800000,2023-11-25 09:00:00,WAVESUSDT,2.179,2.184,2.159,2.168,176250.31,382350.66666,1296
1700899200000,2023-11-25 08:00:00,WAVESUSDT,2.199,2.202,2.172,2.179,196477.21,428904.40297,1385
1700895600000,2023-11-25 07:00:00,WAVESUSDT,2.204,2.236,2.184,2.199,681018.46,1505019.49937,5710
1700892000000,2023-11-25 06:00:00,WAVESUSDT,2.167,2.206,2.161,2.204,396694.17,868177.45143,2749
1700888400000,2023-11-25 05:00:00,WAVESUSDT,2.184,2.187,2.154,2.166,160550.7,348443.98259,1073
1700884800000,2023-11-25 04:00:00,WAVESUSDT,2.164,2.188,2.155,2.185,185622.0,403053.19955,1454
1700881200000,2023-11-25 03:00:00,WAVESUSDT,2.148,2.165,2.148,2.165,116653.04,251290.59073,897
1700877600000,2023-11-25 02:00:00,WAVESUSDT,2.142,2.151,2.134,2.15,116738.43,250307.508,756
1700874000000,2023-11-25 01:00:00,WAVESUSDT,2.108,2.145,2.107,2.141,132908.55,283189.40506,1056
1700870400000,2023-11-25 00:00:00,WAVESUSDT,2.109,2.116,2.086,2.108,163684.37,343822.11133,1388
1700866800000,2023-11-24 23:00:00,WAVESUSDT,2.106,2.108,2.092,2.108,64518.33,135466.29002,540
1700863200000,2023-11-24 22:00:00,WAVESUSDT,2.113,2.119,2.1,2.107,55206.49,116477.71825,510
1700859600000,2023-11-24 21:00:00,WAVESUSDT,2.123,2.129,2.113,2.114,39138.64,83055.4395,384
1700856000000,2023-11-24 20:00:00,WAVESUSDT,2.113,2.125,2.104,2.123,65388.88,138179.63381,482
1700852400000,2023-11-24 19:00:00,WAVESUSDT,2.119,2.119,2.108,2.112,28388.23,59954.6212,230
1700848800000,2023-11-24 18:00:00,WAVESUSDT,2.122,2.13,2.111,2.119,60274.61,127642.92124,426
1700845200000,2023-11-24 17:00:00,WAVESUSDT,2.117,2.137,2.114,2.121,87974.83,187049.59987,675
1700841600000,2023-11-24 16:00:00,WAVESUSDT,2.127,2.149,2.105,2.118,222396.47,473663.33191,1874
1700838000000,2023-11-24 15:00:00,WAVESUSDT,2.107,2.135,2.107,2.126,163817.15,347425.49111,1376
1700834400000,2023-11-24 14:00:00,WAVESUSDT,2.113,2.115,2.095,2.106,110330.27,232099.6957,794
1700830800000,2023-11-24 13:00:00,WAVESUSDT,2.116,2.119,2.105,2.113,107760.18,227627.87328,810
1700827200000,2023-11-24 12:00:00,WAVESUSDT,2.123,2.129,2.114,2.115,171679.46,364558.65157,1412
1700823600000,2023-11-24 11:00:00,WAVESUSDT,2.115,2.139,2.112,2.122,223170.28,474922.28411,2267
1700820000000,2023-11-24 10:00:00,WAVESUSDT,2.126,2.138,2.113,2.114,119681.38,254537.25002,1069
1700816400000,2023-11-24 09:00:00,WAVESUSDT,2.111,2.134,2.108,2.125,91984.35,195333.74037,805
1700812800000,2023-11-24 08:00:00,WAVESUSDT,2.122,2.126,2.107,2.109,109640.74,232118.92761,766
1700809200000,2023-11-24 07:00:00,WAVESUSDT,2.107,2.126,2.105,2.122,84180.62,177951.86684,645
1700805600000,2023-11-24 06:00:00,WAVESUSDT,2.101,2.115,2.099,2.11,119897.86,252618.82837,679
1700802000000,2023-11-24 05:00:00,WAVESUSDT,2.095,2.102,2.086,2.102,47291.25,99098.33277,418
1700798400000,2023-11-24 04:00:00,WAVESUSDT,2.091,2.097,2.089,2.096,30418.8,63647.48148,332
1700794800000,2023-11-24 03:00:00,WAVESUSDT,2.095,2.098,2.087,2.091,45648.34,95558.48305,401
1700791200000,2023-11-24 02:00:00,WAVESUSDT,2.096,2.104,2.09,2.095,40309.89,84596.52859,353
1700787600000,2023-11-24 01:00:00,WAVESUSDT,2.096,2.112,2.095,2.096,54858.43,115290.63781,424
1700784000000,2023-11-24 00:00:00,WAVESUSDT,2.092,2.1,2.08,2.096,88989.0,186145.98485,722
1700780400000,2023-11-23 23:00:00,WAVESUSDT,2.098,2.102,2.088,2.092,32954.42,69049.22622,308
1700776800000,2023-11-23 22:00:00,WAVESUSDT,2.084,2.099,2.082,2.098,30215.48,63242.88597,301
1700773200000,2023-11-23 21:00:00,WAVESUSDT,2.082,2.09,2.079,2.084,31771.95,66205.69326,323
1700769600000,2023-11-23 20:00:00,WAVESUSDT,2.079,2.088,2.077,2.081,36405.31,75805.48262,312
1700766000000,2023-11-23 19:00:00,WAVESUSDT,2.09,2.091,2.071,2.078,73210.84,152318.97485,519
1700762400000,2023-11-23 18:00:00,WAVESUSDT,2.088,2.097,2.083,2.09,55303.25,115660.21122,396
1700758800000,2023-11-23 17:00:00,WAVESUSDT,2.083,2.096,2.083,2.088,59643.5,124706.37393,391
1700755200000,2023-11-23 16:00:00,WAVESUSDT,2.069,2.087,2.066,2.082,99570.76,206835.33482,674
1700751600000,2023-11-23 15:00:00,WAVESUSDT,2.069,2.078,2.044,2.069,171604.15,353887.00852,1280
1700748000000,2023-11-23 14:00:00,WAVESUSDT,2.082,2.089,2.068,2.07,185655.22,386318.34411,1191
1700744400000,2023-11-23 13:00:00,WAVESUSDT,2.085,2.103,2.08,2.083,191483.83,400117.87343,1407
1700740800000,2023-11-23 12:00:00,WAVESUSDT,2.085,2.099,2.082,2.087,100931.75,210953.76492,550
1700737200000,2023-11-23 11:00:00,WAVESUSDT,2.102,2.104,2.077,2.086,162270.17,338645.8259,1265
1700733600000,2023-11-23 10:00:00,WAVESUSDT,2.129,2.129,2.1,2.103,90410.34,190953.33592,615
1700730000000,2023-11-23 09:00:00,WAVESUSDT,2.142,2.143,2.109,2.128,145752.74,309433.25581,1055
1700726400000,2023-11-23 08:00:00,WAVESUSDT,2.09,2.151,2.09,2.141,448463.25,955005.3377,3707
1700722800000,2023-11-23 07:00:00,WAVESUSDT,2.086,2.098,2.086,2.091,88023.86,184159.09447,759
1700719200000,2023-11-23 06:00:00,WAVESUSDT,2.078,2.086,2.069,2.086,171216.23,355937.80676,878
1700715600000,2023-11-23 05:00:00,WAVESUSDT,2.081,2.088,2.076,2.079,137320.21,285904.77502,788
1700712000000,2023-11-23 04:00:00,WAVESUSDT,2.062,2.083,2.058,2.082,89229.57,184747.61921,676
1700708400000,2023-11-23 03:00:00,WAVESUSDT,2.075,2.076,2.06,2.064,27350.63,56495.01598,259
1700704800000,2023-11-23 02:00:00,WAVESUSDT,2.079,2.08,2.066,2.075,92678.83,192297.48818,615
1700701200000,2023-11-23 01:00:00,WAVESUSDT,2.052,2.086,2.052,2.077,119420.99,248042.70017,904
1700697600000,2023-11-23 00:00:00,WAVESUSDT,2.064,2.067,2.05,2.054,83229.43,171232.32805,681
1700694000000,2023-11-22 23:00:00,WAVESUSDT,2.063,2.068,2.052,2.063,101736.22,209513.68898,673
1700690400000,2023-11-22 22:00:00,WAVESUSDT,2.072,2.079,2.059,2.063,75743.88,156599.27791,516
1700686800000,2023-11-22 21:00:00,WAVESUSDT,2.074,2.085,2.063,2.069,111719.32,231599.04437,859
1700683200000,2023-11-22 20:00:00,WAVESUSDT,2.064,2.077,2.057,2.074,80614.75,166678.04887,803
1700679600000,2023-11-22 19:00:00,WAVESUSDT,2.056,2.067,2.051,2.063,144175.86,297098.38679,979
1700676000000,2023-11-22 18:00:00,WAVESUSDT,2.027,2.059,2.024,2.054,277254.2,567753.04043,2203
1700672400000,2023-11-22 17:00:00,WAVESUSDT,2.007,2.029,2.007,2.027,82482.74,166590.37656,578
1700668800000,2023-11-22 16:00:00,WAVESUSDT,2.008,2.024,1.995,2.007,75464.64,151620.82372,576
1700665200000,2023-11-22 15:00:00,WAVESUSDT,2.003,2.015,1.991,2.007,111027.78,222556.05606,885
